enunciados;modelos
"Vamos a considerar un ciclo Diesel en la que el aire a la entrada está a una presión de 1 atm y una temperatura de 17°C; la razón de compresión es 18 y la de combustión vale 2. El volumen máximo de la cámara es de 1900 cm³. Vamos a determinar los volúmenes, presiones y temperaturas de cada vértice del ciclo, así como su rendimiento y el calor y el trabajo intercambiados por el motor.";Diesel
Las condiciones de entrada en un ciclo Diesel teórico que funciona con una relación de compresión de 18 son 14.4 psia y 60 ºF. La relación de corte es 2. (a) Calcúlese la presión y la temperatura final de cada uno de los procesos del ciclo, y (b) determínese el rendimiento térmico y la presión media efectiva del ciclo.;Diesel
Un ciclo de aire, se ejecuta en un sistema cerrado y se compone de los siguientes 4 procesos: 1-2 Compresión isoentrópica de 100 kPa y 27ºC a 1 MPa. 2-3 Adición de calor a P = Ctte en la cantidad de 2840 kJ/kg. 3-4 Rechazo de calor a V=ctte hasta 100 kPa. 4-1 Rechazo de calor a P=ctte hasta el estado inicial. a) Muestre el ciclo en diagramas P-v y T-s. b) Calcule la temperatura máxima en el ciclo. c) Determine la eficiencia térmica.;Diesel
Un ciclo Diesel de aire estándar presenta unas condiciones iniciales en donde la temperatura es de 290 K y la presión de 90 kPa. Si la temperatura al final de la compresión es de 700 K y la temperatura máxima del ciclo es de 1650 K, la masa es igual a 1 kg. Determinar los valores de las variables de estado en los cuatro estados termodinámicos. Mostrar los diagramas P-V y T-s del ciclo Diesel.;Diesel
Un motor diesel de cuatro cilindros, de dos tiempos, de 2.0 L, que opera en un ciclo Diesel ideal tiene una relación de compresión de 22 y una relación de cierre de admisión de 1.8. El aire está a 70 ºC y 97 kPa al principio del proceso de compresión. Usando las suposiciones de aire estándar frío, determine cuánta potencia entregará el motor a 2300 rpm.;Diesel
Un motor funciona según un ciclo Diesel con una relación de compresión de 15:1, y el combustible se inyecta en el 10 por 100 de la carrera. La presión y la temperatura del aire que entra al ciclindro son 98 kPa y 17 ºC, respectivamente. Determínese (a) la relación de corte, (b) la temperatura al final del proceso de compresión, en kelvin. (c) la presión después de la expansión isoentrópica, en kPa. (d) el calor suministrado, en kJ/kg, y (e) el flujo volumétrico de aire, en m3/kg, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia de 200 kW. Utilícese la Tabla A.5.;Diesel
"A un ciclo Brayton cuya relación de presiones es de 6:1 entra aire a 1.0 bar y 17 C. La turbina tiene una temperatura límite de 1000 К y el gasto másico es 3.5 kg/s. Determine: a) el trabajo del compresor y de la turbina; b) la eficiencia térmica; c) la producción de potencia, y d) el gasto volumétrico a la entrada del compresor. e) Si la adición de calor se efectúa mediante la quema completa de un combustible cuyo valor calorífico es 44000 kJ/kg, estime la relación de combustible y aire empleada en el quemador.";Joule
Una planta de potencia de turbina de gas opera según un ciclo de aire estándar entre los límites de presión de 1 y 6.4 bares. La temperatura del aire de entrada es de 22 C, y la limitación de temperatura en la turbina es de 807 C. Si las eficiencias adiabáticas del compresor y la turbina son 82 y 85%, respectivamente, calcule: a) la producción neta de trabajo, y b) la eficiencia térmica si el ciclo es ideal.;Joule
Una central eléctrica de turbina de gas que opera en un ciclo Brayton ideal tiene una relación de presión de 8. La temperatura del gas es de 300 K en la entrada del compresor y de 1 300 K en la entrada de la turbina. Utilice las suposiciones de aire estándar y determine a) la temperatura del gas a la salida del compresor y de la turbina, b) la relación del trabajo de retroceso y c) la eficiencia térmica.;Joule
"Sea un ciclo Joule-Brayton ideal operando entre las temperaturas máxima de 1000 K y mínima de 288 K y con una relación de presiones de 6. Calcular: a) el rendimiento; b) la razón entre la suma de los trabajos en los procesos adiabáticos y el trabajo en el proceso adiabático de expansión. (Tomar γ = 1, 4)";Joule
Como caso concreto, consideraremos una central eléctrica de turbina de gas que opera en un ciclo Brayton ideal y tiene una relación de presión de 8. La temperatura del gas es de 300 K en la entrada del compresor y de 1300 K en la entrada de la turbina. Determinaremos la temperatura del gas a la salida del compresor y de la turbina, y la eficiencia de esta turbina.;Joule
Un ciclo Brayton de aire estándar funciona con una relación de presiones de 7 y unas temperaturas mínima y máxima de 300 y 1200 K. Con unos rendimientos adiabáticos del compresor y la turbina de 0.81 y 0.86, respectivamente, y con un flujo volumétrico de aire a la entrada de 30 m3/min. determínese (a) la relación de acoplamiento, (b) el rendimiento térmico, y (c) la potencia neta desarrollada, en kilovatios. (Véase el Problema 15.52.);Joule
En un ciclo Brayton simple de aire normal se tiene una relación de presiones de 12, una temperatura a la entrada del compresor de 300 K y una temperatura a la entrada de la  turbina de 1000 K. Determine el flujo másico requerido de aire para una salida de potencia neta de 30 MW suponga que tanto el compresor como la turbina tienen una eficiencia isoentrópica de 80%. Considere los calores específicos constantes a temperatura ambiente. En caso de que se pudiera hacer regeneración, ¿Qué cantidad de calor se podría aprovechar? Explique.;Joule
"En el diagrama se muestra un ciclo ideal y reversible de Brayton que utiliza aire. La relación de presiones es de 5 y la temperatura a la entrada de la turbina es T3 = 900 [ºC]; se sabe que la presión y la temperatura del aire a la entrada del compresor son P1 = 105 [Pa] y T1 = 40 [ºC] respectivamente. Determine para el ciclo: a) El volumen específico del aire a la entrada y a la salida del quemador. b) El trabajo, asociado a cada unidad de masa, que recibe el compresor.";Joule
La relación de presiones en un ciclo Brayton de aire estándar es 4.5, y las condiciones de entrada al compresor son 0.10 MPa y 27 ºC. La temperatura de entrada a la turbina está limitada a 827 ºC, y el flujo másico es 4 kg/s. Determínese (a) el trabajo del compresor y de la turbina, en kJ/kg, (b) el rendimiento térmico, (c) la potencia neta de salida, en kW, y (d) el flujo volumétrico a la entrada del compresor, en m3/min. Para los valores del aire utilícese la Tabla A.5.;Joule
La relación de presiones en un ciclo Brayton de aire estándar es 7.2:1, y las condiciones de entrada son 1.0 bar y 17 ºC. La temperatura de entrada a la turbina está limitada a 1.260 K. y el flujo másico es 3.5 kg/s. Determínese (a) el trabajo del compresor y de la turbina, en kJ/kg, (b) el rendimiento térmico, (c) la potencia neta de salida, en kW, y (dZ) el flujo volumétrico a la entrada del compresor, en m3/min. Para los valores del aire utilícese la Tabla A.5.;Joule
En un ciclo Brayton de aire estándar, la relación de presiones es 6.0. y las condiciones de entrada al compresor son 15 psia y 40 ºF. La temperatura de entrada a la turbina está limitada a 1.440 ºF. y el flujo másico es 10 lbm/s. Los rendimientos adiabáticos del compresor y la turbina son 0.80 y 0.85, respectivamente. Determínese (a) el trabajo del compresor y el de la turbina, en Btu/lbm, (b) el rendimiento térmico, (c) la potencia neta obtenida, en hp, y (d) el flujo volumétrico a la entrada del compresor, en ft3/min. Utilícense los valores de la Tabla A.51. (Véase el Problema 15.63I.);Joule
En un ciclo Brayton, el aire entra al compresor en unas condiciones de 300 K y 100 kPa, y la relación de presiones es de 7:1. Para unas temperaturas de entrada a la turbina desde 900 hasta 1500 K, en intervalos de 100 grados, calcúlese mediante un programa de ordenador y dibújese (a) el rendimiento térmico, (b) la relación de acoplamiento, y (c) el trabajo neto de salida, en kJ/kg.;Joule
En un ciclo Joule (Brayton) de aire estándar, el aire entra al compresor a 100 kPa y 290 K. La presión de salida del compresor es de 480 kPa y  la temperatura máxima del ciclo es de 1150 K. Si la masa es de 1 kg, determinar los valores de las variables de estado en los cuatro estados termodinámicos y mostrar los diagramas P-V y T-s del ciclo Joule.;Joule
Un ciclo Brayton de aire estándar funciona con una relación de presiones de 7.0. una presión de entrada de 96 kPa y unas temperaturas mínima y máxima de 300 y 1200 K. Si el flujo volumétrico de aire a la entrada es de 30 m3/min, determínese (a) la relación de acoplamiento, (b) el rendimiento térmico, y (c) la potencia neta desarrollada, en kilovatios.;Joule
Un ciclo Brayton ideal de aire estándar funciona con aire que entra al compresor a 0.95 bar y 22 ºC. La relación de presiones rp es 6:1, y el aire sale de la cámara de combustión a 1.100 K. Calcúlese el trabajo suministrado al compresor, el trabajo de salida de la turbina y el rendimiento térmico del ciclo, de acuerdo con los datos de la Tabla A.5.;Joule
Un ciclo Brayton ideal funciona entre las temperaturas extremas de 290 y 1.200 K. Calcúlese utilizando un programa de ordenador y hágase una representación gráfica de (a) el trabajo neto, en kJ/kg, y (b) el rendimiento térmico para un intervalo de la relación de presiones desde 4 hasta 14 en intervalos de 2.;Joule
"Un motor de dos tiempos, del tipo Otto, de 23.5 x 23.5 cm desarrolla 29.85 kW a 200 rpm, mientras emplea gas natural con un poder calorífico inferior de 37 252 kJ/m3 y una admisión a  P1= 1atm y T1= 15.6°C. El consumo específico de calor es 14.142 kJ/kW h; la relación de compresión es 6 y la eficiencia mecánica vale 81%. Haga uso estándar de aire con k = 1.33, y calcule las eficiencias térmicas indicada y efectiva (al freno), las eficiencias motrices y la p.m.e.";Otto
Un ciclo ideal de Otto tiene una relación de compresión de 10.5, admite aire a 90 kPa y 40 ºC y se repite 2 500 veces por minuto. Usando calores específicos constantes a temperatura ambiente, determine la eficiencia térmica de este ciclo y la tasa de suministro de calor si el ciclo ha de producir 90 kW de potencia.;Otto
"El aire a la entrada de un ciclo de Otto cuya relación de compresión es 8:1 se encuentra a 0.98 bares y 27 ºC. Se suministran 1430 kJ/kg de calor. Determine: a) la presión y la temperatura al final de cada uno de los procesos del ciclo; a) la eficiencia térmica; c) la presión media eficaz del ciclo, y d) el gasto volumétrico del aire, medido a las condiciones de comienzo de la compresión, necesario para producir 80 HP.";Otto
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 8.0 y al que se le suministra una cantidad de calor de 1.188 kJ/kg. Si la presión y la temperatura al comienzo del proceso de compresión son 0.098 MPa y 27 ºC. determínese utilizando los valores de la Tabla A.5 (a) las presiones y temperaturas en el ciclo, (b) el trabajo neto de salida en kJ/kg, (c) el rendimiento térmico, y (d) la presión media efectiva en MPa.;Otto
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 8.3 y al que se le suministra una cantidad de calor de 1.456 kJ/kg. Si la presión y la temperatura al comienzo del proceso de compresión son 0.095 MPa y 7 ºC, determínese utilizando los valores de la Tabla A.5 (a) la presión y temperatura máximas del ciclo, (b) el trabajo neto obtenido, en kJ/kg. (c) el rendimiento térmico, y (d) la presión media efectiva en megapascales.;Otto
En un ciclo Otto de aire estándar, el aire se encuentra a 14.0 psia y 80 ºF al comenzar la carrera de compresión, y el volumen del cilindro es 0.20 ft3. La relación de compresión es 9, y en el proceso de suministro de calor se transfieren 9.20 Btu. Utilizando los valores de la Tabla A.5I, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión, (b) el rendimiento térmico, (c) la presión media efectiva en psi, y (J) el flujo volumétrico de aire, en ft3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia de 120 hp.;Otto
Un motor de ignición por chispa tiene una relación de compresión de 8, una eficiencia isentrópica de compresión de 85 por ciento y una eficiencia isentrópica de expansión de 95 por ciento. Al principio de la compresión, el aire en el cilindro está a 13 psia y 60 ºF. La temperatura máxima que se encuentra por medición es 2.300 ºF. Determine el calor suministrado por unidad de masa, la eficiencia térmica y la presión efectiva media de este motor cuando se modela con el ciclo de Otto. Use calores específicos constantes a temperatura ambiente. ;Otto
Un ciclo de Otto ideal con aire como fluido de trabajo tiene una relación de compresión de 8. Las temperaturas mínima y máxima del ciclo son 300 y 1340 K. Teniendo en cuenta la variación de calores específicos con la temperatura, determine: a) la cantidad de calor transferido al aire durante el proceso de adición de calor. b) la eficiencia térmica. c) la eficiencia térmica de un ciclo de Carnot que opera entre los mismos límites de temperatura;Otto
Alguien ha sugerido que el ciclo de Otto de aire estándar es más preciso si los dos procesos isentrópicos se reemplazan por procesos politrópicos con un exponente politrópico n = 1.3. Considere un ciclo así con una relación de compresión de 8, p1 = 95 kPa, T1 = 15 ºC, y la temperatura máxima del ciclo es 1200 ºC. Determine el calor que se transfiere a este ciclo y que se rechaza de éste, así como la eficiencia térmica del ciclo. Use calores específicos constantes a temperatura ambiente.;Otto
En el caso de un motor de tipo Otto ideal con 17 % de un espacio muerto y una presión inicial de 93.08 k Pa abs, halle la presión al final de la compresión, empleando propiedades para estándar de aire de la sección B1, si la presión al final del calentamiento a volumen constante es 3447.4 kPa abs, ¿cuál es la p.m.e en kPa?;Otto
Un ciclo Otto de aire estándar funciona con una relación de compresión de 8.50. y el aire al comienzo de la compresión se halla a 14.5 psia y 90 ºF. La presión se triplica en el proceso de suministro de calor. Utilizando la tabla A.51, determínese (a) las temperaturas en el ciclo, en grados Rankine, (b) el rendimiento térmico, (c) la presión media efectiva en psi, y (d) el rendimiento térmico de un motor de Camot que funcionase entre los mismos límites de temperatura.;Otto
Un ciclo Otto ideal mono cilíndrico de cuatro tiempos y 60 (mm) de diámetro de pistón está limitado por los volúmenes V1 = 480 (cm^3) y V2 = 120 (cm^3), y por las presiones absolutas siguientes: P1 = 0.1 (MPa). P2 = 0.7(MPa), P3 = 3.5(MPa) y P4 = 0.5(MPa). Si consideramos que la sustancia de trabajo es aire como gas ideal, determine: a)La   temperatura   del   fluido   al   final   de   la   compresión,   si   la temperatura al final del rechazo de calor al medio, a volumen constante es 35 °C. b) La masa de aire. c) La variación de entropía en el proceso de la compresión.;Otto
Un ciclo Otto ideal tiene una relación de compresión de 8. Al inicio del proceso de compresión el aire está a 100 Kpa y 17 oC, y 800kJ/kg de calor se transfieren a volumen constante hacia el aire durante el proceso de adición de calor. Determine: a) Temperatura y presión máxima durante el ciclo, b) Trabajo neto de salida, c) Eficiencia térmica del ciclo y d)Presión media efectiva en el ciclo.;Otto
Supongamos un ciclo Otto ideal con una relación de compresión de 8. Al inicio de la fase de compresión, el aire está a 100 kPa y 17°C. En la combustión se añaden 800 kJ/kg de calor. Vamos a determinar la temperatura y la presión máximas que se producen en el ciclo, la salida de trabajo neto y el rendimiento de este motor. ;Otto
Un motor funciona con base en un ciclo Otto. Las condiciones al inicio de la compresión son 27 ºC y 100 kPa. El calor agregado es 1840 kJ/kg. La relación de compresión es 8. Determinar la temperatura y la presión en cada punto de ciclo, la eficiencia térmica y la presión media efectiva.;Otto
Un ciclo de Otto ideal con aire como fluido de trabajo tiene una relación de compresión de 8. Las temperaturas mínima y máxima del ciclo son 540 y 2.400 R. Teniendo en cuenta la variación de calores específicos con la temperatura, determine a) la cantidad de calor transferido al aire durante el proceso de adición de calor, b) la eficiencia térmica y c) la eficiencia térmica de un ciclo de Carnot que opera entre los mismos límites de temperatura.;Otto
"Al comienzo de la compresión adiabática de un ciclo Otto ideal, con una relación de compresión de 8, se tienen los siguientes valores: P1 = 1 bar, T1 = 300 K y V1 = 0.6 litros. La temperatura máxima del ciclo es de 2000 K. Calcular: a) la temperatura y la presión al final de cada proceso del ciclo; b) el calor absorbido; y c) el trabajo neto. (Tomar γ = 1, 4)";Otto
Un ciclo Otto ideal con aire tomado de la atmósfera como fluido de trabajo, tiene una relación de compresión de 8. Las temperaturas mínima y máxima en el ciclo son 310 K y 1600 K. El valor de P1=100 kPa. Determine: a) La cantidad de calor transferido al aire durante el proceso de adición de calor. b) La eficiencia térmica. c) La presión media efectiva y la cilindrada.;Otto
La relación de compresión de un ciclo de Otto de aire estándar es 9.5. Antes del proceso de compresión isentrópica, el aire está a 100 kPa, 35 ºC y ocupa un volumen de 600 cm3. La temperatura al final del proceso de expansión isentrópica es de 800 K. Usando valores de calores específicos a temperatura ambiente, determine: a) la temperatura más alta y la presión más alta en el ciclo. b) la cantidad de calor transferido al fluido de trabajo, en kJ. c) la eficiencia térmica. d) la presión media efectiva.;Otto
Determinar la temperatura media de los humos a la salida del escape de un motor de combustión interna que funciona según el ciclo Otto si la temperatura del aire al entrar al cilindro es t1 = 50 ºC y al salir del cilindro es t4 = 675 ºC. Suponer que el exponente adiabático de los humos es igual al del aire, es decir, 1.4.;Otto
"Para un ciclo Otto con 8.3 de relación de compresión y 1213 kJ/kg de suministro de calor, determine: a) la presión y la temperatura máxima del ciclo; b) la producción de trabajo neto; c) la eficiencia térmica, y d) la presión media eficaz. Considere que la presión y la temperatura al comienzo del proceso de compresión son 0.095 MPa y 7 ºC.";Otto
Un ciclo de Otto ideal tiene una relación de compresión de 8. Al inicio del proceso de compresión el aire está a 100 kPa y 17 ºC, y 800 kJ/kg de calor se transfieren a volumen constante hacia el aire durante el proceso de adición de calor. Tome en cuenta la variación de los calores específicos del aire con la temperatura y determine a) la temperatura y presión máximas que ocurren durante el ciclo, b) la salida de trabajo neto, c) la eficiencia térmica y d) la presión media efectiva en el ciclo.;Otto
En un ciclo Otto de aire estándar, el aire se encuentra a 0.095 MPa y 22 ºC al comenzar la carrera de compresión, y el volumen del cilindro es 2800 cm3. La relación de compresión es 9, y en el proceso de suministro de calor se transfieren 4.30 kJ. Utilizando los valores de la Tabla A.5, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión. (b) el rendimiento térmico, (c) la presión media efectiva, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia de 120 kW.;Otto
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 0.98 bar y la temperatura 27 ºC. Durante el suministro de calor el valor de P3/P2  es 2.90. Utilizando los datos de la Tabla A.5, determínese (a) la presión y la temperatura al final de cada proceso del ciclo, (b) el rendimiento térmico, (c) la presión media efectiva, en bar, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir 120 kW.;Otto
Un ciclo Otto de aire estándar funciona con una relación de compresión de 8.55, y el aire al comienzo de la compresión se halla a 98 kPa y 32 ºC. La presión se triplica en el proceso de suministro de calor. Utilizando la tabla A.5, determínese (a) las temperaturas en el ciclo, en kelvin, (b) el rendimiento térmico, (c) la presión media efectiva en kPa, y (d) el rendimiento térmico de un motor de Carnot que funcionase entre los mismos limites de temperatura.;Otto
Suponga una máquina térmica que opera con un ciclo de Otto el cual funciona con aire como gas ideal. El gas entra (estado 1) a 100 [kPa] y 26 [°C], la relación de compresión, es decir, V1/V2 = 12 y la temperatura máxima que alcanza es 1850 [°C]. Considerando el ciclo como reversible, determine: b) La variación de entropía especifica entre el estado que corresponde al inicio de la compresión adiabática y el que corresponde a la temperatura máxima alcanzada por el aire. c) La eficiencia máxima que se podría tener si, entre los depósitos térmicos del problema, el ciclo que se utiliza es el de Carnot.;Otto
Se tiene un ciclo de Otto de aire, estándar, con una relación de compresión de 7, en el que la presión al inicio de la compresión es 90 [kPa] y la temperatura es 18 [°C]. Si el calor, asociado a cada unidad de masa suministrado en el proceso de la combustión es 180 [kJ/kg], determine: b) La presión máxima alcanzada. c) La temperatura máxima en el ciclo.;Otto
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 0.98 bar y la temperatura 27 ºC. El calor suministrado al aire en cada ciclo es 1.430 kJ/kg. Utilizando los datos de la Tabla A.5, determínese (a) la presión y la temperatura al final de cada proceso del ciclo. (b) el rendimiento térmico. (c) la presión media efectiva, en bar, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir 120 kW.;Otto
Un ciclo de Otto, con una relación de compresión de 7.5, funciona a partir de condiciones de admisión de 97.91 kPa abs., 29.4 ºC. Calcule la presión y la temperatura al final de la compresión (a) si el aire frío (k = 1.4) es la sustancia de trabajo. Determine la eficiencia térmica ideal.;Otto
Suponga un motor de gasolina de cuatro tiempos, de 1400 cm³ de cilindrada que se puede modelar mediante un ciclo Otto ideal con una relación de compresión de 8. Al inicio de la fase de compresión, el aire está a 100 kPa y 17°C. En la combustión se añaden 800 kJ/kg de calor. Determine la temperatura y la presión máximas que se producen en el ciclo, la salida de trabajo neto y el rendimiento de este motor. Si este motor trabaja a 3000rpm, ¿cuánto es la potencia generada?;Otto
