enunciados;modelos;datos;incognitas;solución
Considere un motor Diesel de cuatro tiempos y cuatro cilindros, de 1500 cm3 de desplazamiento, que tiene una relación de compresión de 16 y gira a 1500 RPM. El combustible empleado disipa 44427 J/g durante la combustión. Al iniciarse la compresión, el aire se encuentra a una presión de 1 bar y a una temperatura de 40 ºC. La relación aire/combustible (masa de aire/masa de combustible) es igual a 20. Suponiendo un Ciclo Diesel donde las propiedades del medio de trabajo son iguales a las del aire, calcule: a) Las presiones y temperaturas a lo largo de todo el ciclo. b) La eficiencia térmica del ciclo Diesel. c) El flujo de calor equivalente suministrado al ciclo durante el proceso de combustión isobárica. d) La potencia desarrollada por l;Diesel;rk=16, rev=1500 rpm, P1=1 bar, T1=40 ºC, qs=44427 J/g, rairecomb=2;T2, P2, T3, P3, T4, P4, nt, qe, potneta;v1=400 cm3, maire=0.445 g, P2=48.5 bar, T2=948.84 K, v2=25 cm3, P3=48.5 bar, qe=988.5 J, T3=3065 K, v3=80.76 cm3, v4=400 cm3, P4=5.16 bar, T4=1616.15 K, nt=56%, qe=49 kW, potneta=27.68 kW
Considere una central eléctrica de vapor que opera en el ciclo Rankine ideal simple. El vapor de agua entra a la turbina a 3 MPa y 350 ºC y es condensado en el condensador a una presión de 75 kPa. Determine la eficiencia térmica de este ci;Rankine;P3=3 Mpa, T3=350 ºC, P4=75 kP;ntermica;h1=384.44 kJ/kg, v1=0,001037 m3/kg, we=3.03 kJ/kg, h2=387.47 kJ/kg, h3=3116.1 kJ/kg, s3=6.7450 kJ/kg K, P4= 75 kPa,  s4=6.7450 kJ/kg K, x4=0.8861, h4=2403.0 kJ/kg, qe= 2728.6 kJ/kg, qs=2018.6 kJ/kg, nt=26%
Considere una central eléctrica de vapor que opera en un ciclo Rankine ideal simple y que tiene una salida de neta de potencia de 45 MW. El vapor entra a la turbina a 7 MPa y 500 °C, y se enfría en el condensador a una presión de 10 kPa mediante el agua de enfriamiento proveniente de un lago y que circula por los tubos del condensador a una tasa de 2000 kg/s. Muestre el ciclo en un diagrama T-s respecto de las líneas de saturación y determine a) la eficiencia térmica del ciclo, b) el flujo másico del vapor y c) el aumento de temperatura del agua de enfri;Rankine;P3=7 MPa, P2=7 MPa, T3=500 ºC, P4=10 kPa, P1=10 kPa, wn=45 MW, fmH2O=2000 kg/;nt, fmv, dtagua; h3=3410.5 kJ/kg, s3=6.798 kJ/kgK, s4=6.798 kJ/kgK, x4=0.8197, h4=2153.2 kJ/kg, ws=1247.3 kJ/kg, h1= 191.83kJ/kg, v1=0.001010 m3/kg, h2=198.89 kJ/kg, we=7.03 kJ/kg, wn=1240.27 kJ/kg, qe=3211.6 kJ/kg, qs=1961.8 kJ/kg, nt=38.6%, fmv=36.28 kg/s, dtH2O=8.51 º
Considere una planta eléctrica de vapor de agua que opera en un ciclo Rankine ideal simple y tiene una producción neta de potencia de 45 MW. El vapor entra a la turbina a 7 MPa y 500 ºC y se enfría en el condensador a una presión de 10 kPa mediante la circulación de agua de enfriamiento de un lago por los tubos del condensador a razón de 2.000 kg/s. Muestre el ciclo en un diagrama T-s con respecto a las líneas de saturación y determine a) la eficiencia térmica del ciclo, b) el flujo másico del vapor y c) la elevación de temperatura del agua de e;Rankine;wn=45 MW, P3=7 Mpa, T3=500 ºC, P4=10 kPa, fm=2000 kg/;nt, fmv, dtagua;h3=3410.5 kJ/kg, s3=6.798 kJ/kg K, s4=6.798 kJ/kg K, x4=0.8197, h4=2153.2 kJ/kg, ws=1247.3 kJ/kg, h1=191.83 kJ/kg,  ve1=0.001010 m3/kg, h2=198.89 kJ/kg, wbomb=7.03 kJ/kg, wn=1240.27 kJ/kg, qe=3211.6 kJ/kg, nt=38.6%, fmv=36.28 kg/s, dtagua=8.51 º
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 8.0 y al que se le suministra una cantidad de calor de 1.188 kJ/kg. Si la presión y la temperatura al comienzo del proceso de compresión son 0.098 MPa y 27 ºC. determínese utilizando los valores de la Tabla A.5 (a) las presiones y temperaturas en el ciclo, (b) el trabajo neto de salida en kJ/kg, (c) el rendimiento térmico, y (d) la presión media efecti;Otto;rk= 8.0, qe=1.188 kJ/kg, P2=0.098 MPa, T2=27 º;P1, T1, P3, T3, P4, T4, wn, nt, pme;P2=17.6 MPa, T2=673 ºC, P3=52.3 MPa, T3=2000 ºC, P4=3.41 Mpa,  T4=1043 ºC, wn= 606 kJ/kg, nt=0.51, pme=0.788 
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 8.3 y al que se le suministra una cantidad de calor de 1.456 kJ/kg. Si la presión y la temperatura al comienzo del proceso de compresión son 0.095 MPa y 7 ºC, determínese utilizando los valores de la Tabla A.5 (a) la presión y temperatura máximas del ciclo, (b) el trabajo neto obtenido, en kJ/kg. (c) el rendimiento térmico, y (d) la presión media efectiva en m;Otto;rk= 8.3, qe=1.456 kJ/kg, P1=0.095 Mpa, T1=7 º;P3, T3, wn, nt, pme;P2=1838.37 kPa, T2=652.814 K, qe=1456 kJ/kg, T3=2680.669 K, P3=7548.95 kPa, P4=390.101 kPa, T4=1149.773 K, wn=831.503 kJ/kg, nt=57.11, v1=0.846 m3/kg, pme=1117.503 kPa
Determinar el rendimiento teórico de un ciclo Diesel que opera con una presión máxima de 40 kgf/cm2 y una presión de entrada de 1 kgf/cm2. La temperatura de ingreso es 50 ºC y la relación de compresión volumétrica r1 = 13.34. La combustión aporta;Diesel;P2=40 kgf/cm2, P1=1 kgf/cm2, T1=50 ºC, rcv=13.34, qs=400 ca;nt;T2=654 ºC, nt=56%, T3=2301 
Determinar la temperatura media de los humos a la salida del escape de un motor de combustión interna que funciona según el ciclo Otto si la temperatura del aire al entrar al cilindro es t1 = 50 ºC y al salir del cilindro es t4 = 675 ºC. Suponer que el exponente adiabático de los humos es igual al del aire, es decir,;Otto;T1 = 50 ºC, T4 = 675 ºC, ea=1;Tmh;Tmh=486 º
El aire a la entrada de un ciclo de Otto cuya relación de compresión es 8:1 se encuentra a 0.98 bares y 27 ºC. Se suministran 1430 kJ/kg de calor. Determine: a) la presión y la temperatura al final de cada uno de los procesos del ciclo, a) la eficiencia térmica, c) la presión media eficaz del ciclo, y d) el gasto volumétrico del aire, medido a las condiciones de comienzo de la compresión, necesario para produci;Otto;r = 8, P1 = 0.98 bar, T1 = 27 ºC, qe=1430 kJ/kg, pots=80 h;P2, T2, P3, T3, P4, T4, nt, pme, fva;P2=17.6 bar, u3=1921 kJ/kg, P3=58.8 bars, v4=14.91 m3/kg, P4=3.85 bar, nt=0.504, v1=0.8776 m3/kg, v2=0.1097 m3/kg, wn=721 kJ/kg, pme=9.38 bar, fv=4.36 m3/min
El aire al inicio de compresión de un ciclo Otto estándar de aire esta a 14 psi y 80°F, el volumen del cilindro es de 0.2 ft3. El radio de compresión 9, y se agregan 9.2 BTU durante el proceso de adición de calor. Calcular: a) Las temperaturas y presiones después de los procesos de compresión y adición de calor. b) La eficiencia;Otto;P1=14 psi, T1=80 ºF, v1=0.2 ft3, rk=9, qe=9.2 Bt;T2, P2, T3, P3, nt;nt=58.47 %, T2=840.26 ºF, P2=303.43 psi, V2=0.022 ft3, T3= 4683.2 °F, P3=1200.22 p
En el caso de un motor de tipo Otto ideal con 17 % de un espacio muerto y una presión inicial de 93.08 k Pa abs, halle la presión al final de la compresión, empleando propiedades para estándar de aire de la sección B1, si la presión al final del calentamiento a volumen constante es 3447.4 kPa abs, ¿cuál es la p.m.e;Otto;v2=17%, P1=93.08 kPa, P3=3447.4 kPa;P2, pme;rk=6.88235, P2= 1385.75939 kPa, P4=231.55823 kPa, pme=471.16852 kPa
En el diagrama se muestra un ciclo ideal y reversible de Brayton que utiliza aire. La relación de presiones es de 5 y la temperatura a la entrada de la turbina es T3 = 900 [ºC], se sabe que la presión y la temperatura del aire a la entrada del compresor son P1 = 105 [Pa] y T1 = 40 [ºC] respectivamente. Determine para el ciclo: a) El volumen específico del aire a la entrada y a la salida del quemador. b) El trabajo, asociado a cada unidad de masa, que recibe el compr;Joule;rp=5, T3=900 ºC, P1=105 Pa, T1=40�;vesp2, vesp3,  we;v3=0.6726 m3/kg, v1=0.89737 m3/kg, v2=0.2842 m3/kg, wc=-130993 J/kg
En un ciclo Brayton de aire estándar, la relación de presiones es 6.0. y las condiciones de entrada al compresor son 15 psia y 40 ºF. La temperatura de entrada a la turbina está limitada a 1.440 ºF. y el flujo másico es 10 lbm/s. Los rendimientos adiabáticos del compresor y la turbina son 0.80 y 0.85, respectivamente. Determínese (a) el trabajo del compresor y el de la turbina, en Btu/lbm, (b) el rendimiento térmico, (c) la potencia neta obtenida, en hp, y (d) el flujo volumétrico a la entrada del compresor, en ft3/min. Utilícense los valores de la Tabla A.51. (Véase el Probl;Joule;P1=15 psia, T1=40 ºF, T3=1440 K, fm=10 lbm/s, nc=0.8, nt=0.8;we, ws, nt, potneta, fv2;we=80.1 Btu/lbm, ws=187.3 Btu/lbm, nt=0.385, potneta=1.515 hp, fv=7400 ft3/min
En un ciclo Brayton simple de aire normal se tiene una relación de presiones de 12, una temperatura a la entrada del compresor de 300 K y una temperatura a la entrada de la  turbina de 1000 K. Determine el flujo másico requerido de aire para una salida de potencia neta de 30 MW suponga que tanto el compresor como la turbina tienen una eficiencia isoentrópica de 80%. Considere los calores específicos constantes a temperatura ambiente. En caso de que se pudiera hacer regeneración, ¿Qué cantidad de calor se podría aprovechar? E;Joule;rk=12, T1=300 K, T3=1000 K, wn=30 MW, ncomp=80%, nturb=80%;fmaire, qs;T2s=610.18 K, T2=687.73 K, T4s=491.66,T4=593.33, fm=1578.4 kg/s
En un ciclo de Diesel reversible, que utiliza aire, la relación de compresión es de 20 y el calor transferido al fluido, en cada ciclo, es 1 800 [kJ/kg]. Si al inicio del proceso de compresión las condiciones del fluido son 15 [°C] y 0.1 [MPa], determine: a) El volumen especifico mínimo del fluido en el ciclo. b) La presión al inicio de la expansión adia;Diesel;rk=20, qe=1800 kJ/kg, T1=15 ºC, P1= 0.1 MP;v2, P2;v1=0 8257 m3/kg,v2=0 0413, P2=6628908.035 Pa
En un ciclo de Rankine básico, el agua entra en la turbina a 25 [bar] y sale a 1 [bar], entra en la bomba con una densidad de 10^3 [kg/m3] como líquido saturado y en la caldera recibe 2 000 [kJ/kg]. Si la eficiencia del ciclo es 0.3, determine el trabajo, asociado a cada unidad de masa, de la bomba y de la turbina. Considere que ambos equipos son adiabáticos y que las variaciones de energía cinética y potencial gravitatoria son despreci;Rankine;P3=25 bar, P4=1 bar, densidad4=1000 kg/m3, qe=2000 kJ/kg, nt=0.3;we, ws;we=2400 kJ/kg, ws=-602400 J/kg, qe=600000 J/kg,
En un ciclo de Rankine se sabe que la turbina desarrolla trabajo en cada unidad de masa de 521.8 [kJ/kg] cuando la entalpía específica del vapor a la entrada es 2 675.8 [kJ/kg]. La presión del agua a la entrada de la caldera es 1 100.32 [kPa] y en ella recibe una cantidad de calor, asociado a cada unidad de masa, de q = 2 592.2 [kJ/kg]. Si la presión y el volumen específico del agua en la entrada de la bomba son 2.34 [kPa] y 0.001 [m3/kg] respectivamente, determine: b) El trabajo neto, asociado a cada unidad de masa, que entrega el ciclo. c) La entalpía específica de la sustancia de trabajo cuando entra al condensador y la eficiencia del;Rankine;P1=1100.32 kPa, P4=1100.32 kPa, P2=2.31 kPa, P3=2.31 kPa, P3=2.34 kPa, v3=0.001 m3/kg, v4=0.001 m3/kg, qe=2592.2 kJ/kg, ws=521.8 kJ/kg;wn, h4, nt;we=1097.98 J/kg, wn=-520703 J/kg, h2=2154000 J/kg nt=20%
En un ciclo Otto de aire estándar, el aire se encuentra a 0.095 MPa y 22 ºC al comenzar la carrera de compresión, y el volumen del cilindro es 2800 cm3. La relación de compresión es 9, y en el proceso de suministro de calor se transfieren 4.30 kJ. Utilizando los valores de la Tabla A.5, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión. (b) el rendimiento térmico, (c) la presión media efectiva, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potenci;Otto;P1= 0.095 Mpa, T1=22 ºC, Vcil=2800 cm3, rk=9, qe=4.30 kJ, wn=120 k;P2, T2, P3, T3, P4, T4, nt, pme, fva;u1=210.49, T2=692.03 K, P2=2.01 MPa, T3=2626.11 K, P3=7.6 MPa, u3=2282.32 kJ/kg, T4=1333.1 K, P4=0.39 MPa, nt=52.58, wciclo=2.78E-6, pme=1.118, fm=0.405 kg/s, fva=21.656 m3/min
En un ciclo Otto de aire estándar, el aire se encuentra a 14.0 psia y 80 ºF al comenzar la carrera de compresión, y el volumen del cilindro es 0.20 ft3. La relación de compresión es 9, y en el proceso de suministro de calor se transfieren 9.20 Btu. Utilizando los valores de la Tabla A.5I, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión, (b) el rendimiento térmico, (c) la presión media efectiva en psi, y (J) el flujo volumétrico de aire, en ft3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potenci;Otto;P1=14.0 psia, T1=80 ºF, vcil=0.20 ft3, rk=9, qe=9.20 btu, wn=120 h;P2, T2, P3, T3, P4, T4, nt, pme, fv;P2=4270 psia, T2=995 ºF, nt=0.522, pme=146 psi, fva=212 ft3/mi
En un generador de potencia que opera con el ciclo Rankine entra agua al generador de vapor a 100 bares y sale del condensador a 0.10 bares y 45 ºC. En el condensador circula agua de enfriamiento a razón de 1.31E6 kg/h, sufriendo una elevación de temperatura de 8.5 ºC. Determine: a) la entalpia y la entropía a la salida de la turbina, b) la entalpia a la entrada de la turbina, c) el calor suministrado, d) la eficiencia térmica, y e) la potencia de la turbina. Considere que el flujo másico de vapor es de 2374;Rankine;P3=100 bar, P4=0.1 bar, T = 45 ºC, fma=1.31E6 kg/h, dT=8.5 ºC, fmv=23740 kg; h4, S4, h3, qe, nt, pots;"h1=188.5 kJ/kg, h4 = 2149.1 kJ/kg, h1 = 188.45 kJ/kg, hg=2583.2 kJ/kg
hfg=2394.8 kJ/kg, x4 = 0.818, s4 = 6.7850 kJ/kg K, T3=560 ºC, h3=3526 kJ/kg K, we=10.1 kJ/kg, h2=198.6 kJ/kg, qe=3327.4 kJ/kg, t=0.411, potneta=9080 k"
En un motor de ciclo Otto la temperatura de la mezcla de aire-combustible es de 28 ºC y la temperatura al final de la compresión es de 290 ºC. Asumiendo k = 1.4 determinar r y el rendimien;Otto;T1=28 ºC, T2=290 ºC, k=1;r, nt;rk=4.785, nt=46.5 %
La presión y la temperatura al inicio de la compresión en un ciclo estándar de aire de OTTO son 101kPa y 300 K, respectivamente. La razón de compresión es de 8 y la cantidad de calor agregado es de 2000 kJ por kilogramo de aire. Determinarse: a) La eficiencia térmica del ciclo b) La temperatura máxima durante el ciclo c) La presión máxima durante;Otto;P1=101 kPa, T1=300 K, rk=8, qe=2000 kJ/kg;nt, T3, P3;nt=0.565, T2=690 K, T3= 3480 K, P2=1854.4 kPa, P3=9371.9 kPa
La presión y la temperatura al inicio de la compresión en un ciclo estándar de aire de OTTO son 101kPa y 300 K, respectivamente. La razón de compresión es de 8 y la cantidad de calor agregado es de 2000 kJ por kilogramo de aire. Determinarse: La presión efectiva media;Otto;P1=101 kPa, T1=300 K, rk=8, qe=2000 kJ/kg;pme;wn=1130 kJ/kg, ve4=0.85247 m3/kg, ve1=0.10656 m3/kg, pme=1515 kPa
La presión y la temperatura al inicio de la compresión en un ciclo estándar del aire del diésel son 101 kPa y 300 K, respectivamente. La razón de compresión es de 15 y la cantidad de calor agregado es de 2000 kJ por kilogramo de aire. Determinar la presión efectiva;Diesel;P1=101 kPa, T1=300 K, rk=15, qe=2000 kJ;pme;wn=1096 kJ/kg, pme=1378 kPa
La presión y la temperatura al inicio de la compresión en un ciclo estándar del aire del diésel son 101 kPa y 300 K, respectivamente. La razón de compresión es de 15 y la cantidad de calor agregado es de 2000 kJ por kilogramo de aire. Determinar: a) La presión máxima durante el ciclo b) La temperatura máxima durante el ciclo c) La eficiencia térmica;Diesel;P1=101 kPa, T1=300 K, rk=15, qe=2000 kJ;P2, P3, T3, nt ;v1=0.85247 m3/kg, v4=0.85247 m3/kg, T2=886 K, P2=4474.3 kPa, P3=4474.3 kPa, T3=2878 K, ve3=0.18460 m3/kg, T4=1561 K, nt=0.548
La relación de compresión de un ciclo de Otto de aire estándar es 9.5. Antes del proceso de compresión isentrópica, el aire está a 100 kPa, 35 ºC y ocupa un volumen de 600 cm3. La temperatura al final del proceso de expansión isentrópica es de 800 K. Usando valores de calores específicos a temperatura ambiente, determine: a) la temperatura más alta y la presión más alta en el ciclo. b) la cantidad de calor transferido al fluido de trabajo, en kJ. c) la eficiencia térmica. d) la presión ;Otto;rk=9.5, P1=100 kPa, T1=35 °C, v1=600 cm3, T2=800 ;P3, T3, qe, nt, pme;T3=1968.7 K, p3=6072.3 kPa, qe=0.59 kJ, nt=59.4 %, pme=652 kPa
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 0.98 bar y la temperatura 27 ºC. Durante el suministro de calor el valor de P3/P2  es 2.90. Utilizando los datos de la Tabla A.5, determínese (a) la presión y la temperatura al final de cada proceso del ciclo, (b) el rendimiento térmico, (c) la presión media efectiva, en bar, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para produ;Otto;rk=8,  P1=0.98 bar, T1=27 ºC, rp23= 2.9;P2, T2, P3, T3, P4, T4, nt, pme, fva;u1=214.07 kJ/kg, v1=0.877 m3/kg, T2=673.08 K, P2=17.59 bar,v2=0.109 m3/kg, P3=51.011 bar, T3=1951.9 K, u3=1632.479 kJ/kg, T4=1014.28 K, u4=735.278 kJ/kg, P4=3.315 bar,nt=56.4, qe=1141.264 kJ/kg,qs=521.208 kJ/kg, pme=8.073 bar, fm=0.432 kg/s, fva=22.824 m3/min
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 0.98 bar y la temperatura 27 ºC. El calor suministrado al aire en cada ciclo es 1.430 kJ/kg. Utilizando los datos de la Tabla A.5, determínese (a) la presión y la temperatura al final de cada proceso del ciclo. (b) el rendimiento térmico. (c) la presión media efectiva, en bar, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para produ;Otto;rk=8,  P1=0.98 bar, T1=27 ºC, qe=1.430 kJ/kg, wn=120 k;P2, T2, P3, T3, P4, T4, nt, pme, fva;v1=0.877 m3/kg, T2=673 K, P2=17.59 bar, u3=1921.21 kJ/kg, T3=2250 K, P3=58.80 bar, u4=922.49 kJ/kg, T4=1188 K, P4=3.816 bar, qs=708.42 kJ/kg,fm=0.432 kg/s, fv=22.74 m3/min, nt=56.5, pme=9.39,fva
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 14.5 psia y la temperatura 80ºF. El calor suministrado al aire es 888 Btu/lbm por ciclo, utilizando los datos de la Tabla A.51, determínese (a) la presión y la temperatura al final de cada proceso del ciclo. (b) el rendimiento térmico, (c) la presión media efectiva, en psi, y (d) el flujo volumétrico en ft3/min, medido en las condiciones existentes al comenzar la compresión, necesario para produ;Otto;rk=8,  P1=14.5 psia, T1=80ºF, qe= 888 Btu/lbm, wn=110 h;P2, T2, P3, T3, P4, T4, nt, pme, fva;nt=0.5647, T2=780.52 ºF, P2=266.5 psi, T3=5973.5 ºF, ve2=1.7242 ft3/lbm, ve3=1.7242 ft3/lbm, P3=1382.134 psi, T4=2340.34 ºF, v1=13.794 ft3/lbm, v4=13.794 ft3/lbm, P4=75.2 psi, qs=386.518 Btu/lbm, wn=501.481 Btu/lbm, potmedia=224.55 
La relación de presiones en un ciclo Brayton de aire estándar es 4.5, y las condiciones de entrada al compresor son 0.10 MPa y 27 ºC. La temperatura de entrada a la turbina está limitada a 827 ºC, y el flujo másico es 4 kg/s. Determínese (a) el trabajo del compresor y de la turbina, en kJ/kg, (b) el rendimiento térmico, (c) la potencia neta de salida, en kW, y (d) el flujo volumétrico a la entrada del compresor, en m3/min. Para los valores del aire utilícese la ;Joule;rk=4.5,P1=0.10 Mpa, T1=27 ºC, T3=827 ºC, fm=4 kg;we, ws, nt, wn, fv1;we=162 kJ/kg, ws=395 kJ/kg, nt=0.33, potneta=932 kW , fv=206 m3/min
La relación de presiones en un ciclo Brayton de aire estándar es 7.2:1, y las condiciones de entrada son 1.0 bar y 17 ºC. La temperatura de entrada a la turbina está limitada a 1.260 K. y el flujo másico es 3.5 kg/s. Determínese (a) el trabajo del compresor y de la turbina, en kJ/kg, (b) el rendimiento térmico, (c) la potencia neta de salida, en kW, y (dZ) el flujo volumétrico a la entrada del compresor, en m3/min. Para los valores del aire utilícese la T;Joule;rk=7, P1=1.0 bar, T1=17 ºC, T3=1260 K, fm=3.5 kg/;we, ws, nt, wn, fv2;we=262 kJ/kg, ws=497 kJ/kg, nt=0.294, wn=820 kW, fv=175 m3/min
